date,n1,n2,n3,n4,n5,s1,s2
20240213,13,17,18,20,46,4,9
20240216,8,13,14,24,26,1,2
20240220,23,31,37,42,48,3,7
20240223,24,27,28,30,49,1,12
20240227,3,4,9,12,20,5,6
20240301,4,7,19,20,34,2,4
20240305,2,15,17,23,36,3,8
20240308,8,11,12,16,44,4,7
20240312,13,19,30,38,46,4,12
20240315,1,4,31,34,40,4,5
20240319,7,16,18,20,32,1,3
20240322,8,11,23,32,44,9,10
20240326,2,13,14,26,29,5,6
20240329,16,17,35,36,49,1,10
20240402,1,23,31,36,48,5,8
20240405,13,18,26,35,37,8,11
20240409,19,23,26,27,46,2,10
20240412,2,3,12,16,45,2,11
20240416,22,29,31,39,46,3,7
20240419,10,20,40,44,46,1,3
20240423,6,9,11,32,49,2,10
20240426,2,20,39,40,47,4,8
20240430,13,22,24,33,47,1,5
20240503,6,9,10,30,49,3,4
20240507,35,36,41,42,45,6,11
20240510,13,28,29,44,48,4,12
20240514,2,8,17,28,35,7,9
20240517,18,31,32,41,46,1,10
20240521,11,13,14,34,48,7,9
20240524,9,12,18,22,50,1,3
20240528,16,18,35,36,41,6,7
20240531,4,7,16,33,34,7,8
20240604,6,7,9,14,43,3,4
20240607,15,16,26,30,37,5,8
20240611,7,15,34,45,48,7,9
20240614,2,13,16,24,32,1,7
20240618,3,11,33,34,36,1,12
20240621,3,4,7,11,17,3,12
20240625,14,16,37,45,49,5,7
20240628,10,16,18,22,35,1,10
20240702,2,7,34,35,46,6,8
20240705,11,13,29,31,47,1,11
20240709,6,15,19,28,39,7,11
20240712,12,18,24,25,39,8,10
20240716,2,32,35,36,39,7,8
20240719,15,22,35,44,48,6,7
20240723,4,8,10,16,34,4,8
20240726,4,19,23,35,37,4,8
20240730,9,25,28,37,38,2,8
20240802,5,7,12,33,46,3,12
20240806,1,18,27,41,50,2,12
20240809,21,23,25,33,44,4,10
20240813,15,16,39,40,47,1,6
20240816,15,17,29,45,49,1,10
20240820,7,10,13,18,26,3,12
20240823,9,15,24,47,50,8,9
20240827,1,8,11,42,47,4,11
20240830,3,24,27,33,42,4,6
20240903,7,9,11,16,45,2,5
20240906,12,14,34,41,47,3,4
20240910,6,29,46,47,48,2,9
20240913,10,15,17,31,42,4,12
20240917,20,30,32,41,44,1,10
20240920,16,25,29,34,37,3,7
20240924,18,20,21,36,49,3,5
20240927,7,20,21,27,38,5,12
20241001,8,22,29,41,42,9,11
20241004,4,8,16,17,20,1,6
20241008,7,14,19,34,40,6,8
20241011,16,23,32,46,49,4,5
20241015,2,15,32,36,48,3,9
20241018,4,15,23,30,39,1,12
20241022,3,13,27,30,46,1,2
20241025,4,17,20,25,45,8,9
20241029,1,2,19,30,45,10,12
20241101,7,33,38,44,50,2,7
20241105,1,8,19,37,50,6,9
20241108,2,33,35,42,48,1,3
20241112,10,11,12,22,50,1,10
20241115,7,8,34,39,44,2,6
20241119,4,13,20,28,49,7,12
20241122,10,11,12,29,31,8,11
20241126,7,11,25,31,40,9,12
20241129,8,17,18,29,43,5,9
20241203,23,25,34,46,47,6,8
20241206,14,25,39,44,47,6,10
20241210,5,24,25,29,47,5,9
20241213,1,15,25,42,50,4,10
20241217,1,3,4,21,29,2,7
20241220,10,14,21,33,50,6,9
20241224,6,10,16,23,24,11,12
20241227,12,22,27,33,45,4,8
20241231,19,24,26,28,33,8,12
20250103,3,19,29,35,37,1,9
20250107,20,33,35,41,47,4,12
20250110,12,27,36,37,42,6,7
20250114,18,20,29,41,48,5,9
20250117,8,15,24,35,42,6,8
20250121,6,8,14,27,41,4,5
20250124,2,11,19,30,49,3,8
20250128,9,37,41,42,49,1,9
20250131,22,30,41,44,49,2,7
20250204,3,4,29,39,43,5,10
20250207,10,23,24,29,45,8,10
20250211,3,21,36,41,46,1,6
20250214,4,14,31,36,38,3,10
20250218,5,14,25,26,40,5,7
20250221,1,3,11,20,43,2,11
20250225,17,22,23,24,44,6,11
20250228,7,16,31,43,46,5,9
20250304,15,20,29,35,42,2,9
20250307,6,10,27,32,48,3,8
20250311,13,36,37,42,47,7,11
20250314,8,10,33,35,49,2,9
20250318,4,9,35,46,50,8,11
20250321,9,17,18,21,50,5,12
20250325,1,3,18,33,36,2,6
20250328,10,21,30,42,45,1,9
20250401,9,24,30,46,49,4,12
20250404,27,39,41,45,50,5,7
20250408,3,14,15,48,49,1,7
20250411,14,28,34,46,49,3,8
20250415,3,31,33,38,44,6,12
20250418,20,27,35,39,48,3,8
20250422,7,28,33,37,47,9,12
20250425,13,22,32,39,41,1,12
20250429,2,9,24,30,41,1,11
20250502,3,5,19,21,49,1,10
20250506,8,23,24,47,48,4,9
20250509,15,18,25,29,47,5,9
20250513,9,19,44,47,50,2,9
20250516,6,9,25,37,46,6,12
20250520,1,8,13,29,47,5,6
20250523,10,29,43,46,49,7,12
20250527,12,30,38,40,41,4,12
20250530,4,7,14,33,36,1,5
20250603,12,15,38,47,48,5,7
20250606,20,21,29,30,35,2,12
20250610,19,36,39,40,45,5,6
20250613,2,28,40,43,45,3,7
20250617,13,22,23,44,49,3,5
20250620,5,8,24,37,47,3,9
20250624,7,16,21,23,39,7,11
20250627,19,27,36,45,49,7,10
20250701,1,17,28,32,34,7,8
20250704,19,29,42,45,48,5,7
20250708,1,8,9,18,50,1,5
20250711,8,23,24,45,49,2,10
20250715,24,38,41,45,49,1,6
20250718,13,19,25,42,45,2,9
20250722,8,15,26,33,41,9,10
20250725,6,7,23,32,36,11,12
20250729,5,6,42,44,46,4,8
20250801,4,16,25,29,30,2,10
20250805,1,3,5,42,47,5,10
20250808,2,12,19,34,44,6,10
20250812,18,28,42,46,48,3,9
20250815,13,30,35,36,40,2,6
20250819,24,31,34,41,43,6,8
20250822,6,9,12,30,39,4,10
20250826,2,14,38,42,45,10,11
20250829,6,9,10,13,37,1,7
20250902,13,30,31,32,36,1,12
20250905,27,30,31,41,43,5,8
20250909,3,13,24,39,40,2,8
20250912,5,10,23,31,37,3,11
20250916,1,9,13,35,40,5,6
20250919,8,10,26,32,42,9,12
20250923,11,13,24,29,33,2,5
20250926,4,17,25,28,44,5,11
20250930,3,8,15,17,48,2,8
20251003,6,12,18,25,41,2,6
20251007,24,39,42,43,48,5,8
20251010,6,7,17,20,21,1,10
20251014,5,8,14,16,18,3,10
20251017,13,35,39,44,47,3,5
20251021,5,24,29,40,42,6,12
20251024,7,8,25,31,45,7,12
20251028,7,8,24,35,49,2,12
20251031,5,14,38,43,45,7,11
20251104,6,9,25,28,45,1,4
20251107,11,21,39,40,43,2,8
20251111,4,22,32,36,47,2,10
20251114,9,26,27,45,48,8,9
20251118,2,4,15,21,48,6,12
20251121,17,19,29,35,48,5,9
20251125,6,11,17,35,44,3,7
20251128,5,29,33,39,42,3,9
20251202,4,13,14,20,41,6,12
20251205,9,15,25,34,46,8,12
20251209,2,8,13,29,49,2,11
20251212,7,25,30,37,41,5,11
20251216,14,16,40,41,44,2,10
20251219,17,21,39,43,44,1,11
20251223,8,26,27,29,44,11,12
20251226,12,22,32,36,48,3,4
20251230,11,26,29,34,44,1,10
20260102,8,27,42,44,46,1,10
20260106,5,14,17,18,31,10,12
20260109,1,7,10,26,34,2,4
20260113,6,10,18,44,47,2,10
20260116,5,17,24,29,50,5,10
20260120,11,18,19,22,50,1,11
20260123,4,5,13,21,42,3,10
20260127,4,23,42,43,47,3,9
20260130,14,18,31,35,46,7,11
20260203,26,27,28,34,37,4,9
20260206,10,13,20,23,24,6,11
20260210,1,17,19,34,42,5,8
20260213,9,13,31,37,40,6,9
20260217,1,4,6,10,41,5,12
