date,n1,n2,n3,n4,n5,s1,s2
20180605,9,15,22,39,46,4,5
20180608,8,19,32,43,46,2,8
20180612,7,21,23,36,38,6,8
20180615,23,26,33,38,49,1,12
20180619,7,19,26,42,50,4,9
20180622,14,25,39,41,44,2,8
20180626,15,16,20,34,50,4,7
20180629,15,21,23,40,48,3,12
20180703,1,12,15,29,48,3,5
20180706,8,30,33,38,48,2,10
20180710,3,8,26,33,45,7,10
20180713,1,4,14,21,49,2,12
20180717,4,6,27,48,50,1,11
20180720,2,15,40,43,46,3,6
20180724,2,4,23,39,40,3,9
20180727,11,17,22,23,41,6,11
20180731,20,25,34,42,45,6,11
20180803,7,26,36,38,43,6,12
20180807,16,28,29,30,36,8,10
20180810,18,20,36,43,44,3,9
20180814,1,15,18,25,31,9,11
20180817,2,15,18,24,43,8,12
20180821,16,23,42,43,49,10,12
20180824,3,14,31,36,50,1,12
20180828,4,16,32,42,46,8,12
20180831,4,30,31,38,42,4,6
20180904,5,14,28,30,47,4,11
20180907,4,23,27,31,50,1,8
20180911,9,18,32,38,46,2,3
20180914,1,3,33,40,45,3,4
20180918,3,8,10,32,45,4,12
20180921,5,7,21,25,37,3,4
20180925,6,15,20,30,38,4,7
20180928,2,4,8,27,50,2,9
20181002,7,17,29,37,45,3,11
20181005,8,16,24,26,35,3,11
20181009,3,12,36,44,45,8,11
20181012,4,9,12,31,43,5,8
20181016,15,28,37,40,42,1,6
20181019,1,3,29,47,48,3,12
20181023,1,2,5,21,32,2,12
20181026,5,18,21,31,35,6,9
20181030,17,23,27,43,44,1,12
20181102,5,15,17,37,44,7,11
20181106,14,24,36,40,43,2,9
20181109,14,17,32,37,49,11,12
20181113,2,7,10,13,42,3,6
20181116,9,10,13,28,41,1,12
20181120,6,19,39,45,48,7,12
20181123,5,8,25,26,30,3,10
20181127,4,16,17,18,32,2,11
20181130,3,10,12,23,26,1,12
20181204,19,20,21,42,45,8,9
20181207,11,17,26,37,48,1,10
20181211,4,7,13,23,42,1,3
20181214,12,29,38,42,44,2,12
20181218,1,9,18,39,48,5,7
20181221,2,12,15,34,50,3,4
20181225,4,5,8,31,43,2,9
20181228,13,16,34,35,45,10,12
20190101,1,8,11,25,28,4,6
20190104,7,11,19,27,37,6,10
20190108,3,19,22,31,32,2,11
20190111,1,19,31,39,48,1,6
20190115,22,25,29,33,35,3,6
20190118,5,6,16,30,46,5,10
20190122,9,23,29,41,49,8,10
20190125,1,6,13,15,16,6,10
20190129,14,24,26,32,39,3,8
20190201,3,21,26,41,46,1,6
20190205,14,25,31,37,43,2,3
20190208,11,12,13,39,46,7,10
20190212,6,34,36,41,50,1,5
20190215,15,27,34,38,49,2,10
20190219,1,8,18,19,39,7,9
20190222,3,27,29,33,50,3,7
20190226,3,15,29,35,47,3,4
20190301,6,9,19,26,31,11,12
20190305,6,10,16,39,46,8,11
20190308,17,18,19,24,40,4,8
20190312,5,7,13,19,31,2,9
20190315,3,15,24,42,46,9,12
20190319,1,6,9,34,47,7,12
20190322,4,17,26,30,43,6,11
20190326,12,19,23,43,47,2,6
20190329,13,23,26,32,47,6,10
20190402,2,9,16,26,36,6,7
20190405,1,7,10,29,45,3,5
20190409,18,21,29,38,41,1,11
20190412,1,28,35,36,46,6,9
20190416,1,8,15,44,49,2,11
20190419,7,8,32,41,49,5,11
20190423,18,23,27,42,44,2,7
20190426,14,33,35,47,50,9,11
20190430,5,12,20,26,48,2,11
20190503,2,9,20,27,43,5,6
20190507,7,20,26,32,47,2,11
20190510,1,4,27,45,48,1,7
20190514,10,14,17,25,50,2,10
20190517,16,28,42,43,45,6,7
20190521,32,33,34,39,47,8,12
20190524,5,16,23,30,49,6,7
20190528,7,19,20,28,29,1,5
20190531,1,23,24,26,35,1,11
20190604,9,31,32,39,41,2,8
20190607,1,4,16,20,34,2,5
20190611,25,27,39,42,46,11,12
20190614,1,13,30,31,39,2,7
20190618,12,24,37,40,44,3,7
20190621,5,8,9,25,39,3,7
20190625,6,26,27,34,46,1,9
20190628,1,3,16,33,49,2,11
20190702,11,19,29,44,45,8,12
20190705,2,9,20,34,42,6,9
20190709,7,29,32,36,41,6,7
20190712,2,31,39,45,47,4,8
20190716,3,5,13,18,39,7,8
20190719,13,14,17,26,28,2,7
20190723,1,14,19,23,38,3,7
20190726,2,5,27,37,42,3,10
20190730,15,20,23,27,40,3,6
20190802,13,22,33,44,50,2,5
20190806,12,13,29,36,38,4,12
20190809,2,14,35,41,42,10,11
20190813,13,29,31,33,40,2,3
20190816,9,10,27,37,42,1,5
20190820,20,22,23,24,37,1,4
20190823,4,17,35,42,45,2,8
20190827,8,26,35,43,47,1,9
20190830,25,27,45,46,49,4,6
20190903,7,11,38,39,44,7,10
20190906,10,13,22,40,48,2,5
20190910,3,22,25,30,49,3,6
20190913,1,12,27,42,47,6,7
20190917,22,37,43,44,45,1,12
20190920,8,21,25,38,50,4,8
20190924,2,33,42,47,48,1,2
20190927,24,37,41,43,46,2,8
20191001,2,11,18,40,46,1,4
20191004,6,9,35,41,44,6,9
20191008,7,10,15,44,49,3,12
20191011,2,14,19,42,45,5,6
20191015,3,28,31,32,34,4,5
20191018,8,18,22,41,42,11,12
20191022,2,5,32,33,47,7,8
20191025,34,37,39,40,50,4,10
20191029,16,18,28,42,49,5,10
20191101,2,20,39,44,48,5,7
20191105,9,14,25,33,48,2,12
20191108,8,17,20,23,45,2,8
20191112,1,21,23,25,39,2,4
20191115,3,13,20,32,34,4,11
20191119,8,10,15,30,42,4,6
20191122,3,21,32,34,48,3,11
20191126,2,3,15,19,34,5,8
20191129,3,7,12,42,50,6,8
20191203,18,31,32,38,48,4,12
20191206,1,3,27,39,46,1,10
20191210,2,10,19,21,47,2,8
20191213,9,16,18,23,32,2,10
20191217,1,7,12,25,49,6,9
20191220,8,24,30,32,34,3,4
20191224,3,11,13,14,47,3,6
20191227,1,7,22,26,35,5,10
20191231,26,31,33,41,48,2,4
20200103,5,15,20,36,47,8,12
20200107,5,8,12,37,43,6,11
20200110,6,17,32,44,46,2,6
20200114,21,25,29,39,44,8,9
20200117,8,19,20,29,44,3,8
20200121,10,11,24,36,46,3,5
20200124,3,4,6,9,24,5,8
20200128,1,19,27,31,38,4,5
20200131,13,18,20,23,30,2,4
20200204,21,23,33,35,47,6,7
20200207,9,15,17,25,40,3,9
20200211,24,26,32,43,46,6,10
20200214,5,20,35,41,49,6,10
20200218,11,32,34,38,47,2,10
20200221,7,23,30,32,45,5,9
20200225,1,4,18,27,42,4,6
20200228,8,11,20,22,23,3,4
20200303,4,14,27,44,45,1,10
20200306,15,38,43,45,46,1,11
20200310,11,23,30,37,43,5,12
20200313,3,11,21,27,36,9,10
20200317,5,7,8,16,20,2,12
20200320,3,9,20,34,40,6,12
20200324,7,12,26,30,33,10,11
20200327,11,14,27,41,46,2,3
